step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
46,CASH_IN,82812.61,C2045765496,94057.99,176870.6,C1616574477,591196.0,508383.38,0,0
266,PAYMENT,3123.24,C1551703422,50036.0,46912.76,M616455084,0.0,0.0,0,0
17,TRANSFER,305627.0,C1711670940,305627.0,0.0,C385061535,0.0,0.0,1,0
137,PAYMENT,51680.7,C151179513,243532.8,191852.1,M1730703519,0.0,0.0,0,0
359,CASH_IN,30096.99,C1061023977,7.5998235e+06,7.6299205e+06,C1246610976,106350.59,76253.6,0,0
146,CASH_OUT,187900.19,C778475567,0.0,0.0,C1321117681,753450.25,941350.44,0,0
347,TRANSFER,654842.75,C1905837425,0.0,0.0,C1027236194,2.7103892e+06,3.365232e+06,0,0
284,CASH_OUT,130107.15,C1436162741,0.0,0.0,C1615714703,291396.4,421503.56,0,0
371,CASH_OUT,205163.3,C1336772160,205163.3,0.0,C2058716445,0.0,205163.3,1,0
357,CASH_IN,197752.27,C1029308541,3.8581915e+06,4.0559438e+06,C1225480482,3.3075302e+06,3.109778e+06,0,0
376,PAYMENT,33149.21,C659188054,253247.0,220097.8,M1543607371,0.0,0.0,0,0
182,CASH_OUT,129322.12,C461203023,5431.0,0.0,C619966153,0.0,0.0,0,0
561,CASH_OUT,31945.44,C366088606,31945.44,0.0,C1251565216,95415.09,127360.53,1,0
121,TRANSFER,936976.9,C415681195,936976.9,0.0,C243023678,0.0,0.0,1,0
282,CASH_OUT,186081.7,C2049093113,0.0,0.0,C1883528744,765970.5,952052.2,0,0
369,TRANSFER,1.11895e+06,C790592139,0.0,0.0,C1897595911,4.2662785e+06,5.3852285e+06,0,0
162,PAYMENT,21664.64,C916764948,0.0,0.0,M58230868,0.0,0.0,0,0
277,CASH_OUT,36420.6,C640492983,11650.0,0.0,C555682613,1.8977578e+06,1.9341784e+06,0,0
18,PAYMENT,21724.23,C906060809,52148.73,30424.5,M1106354342,0.0,0.0,0,0
688,CASH_IN,182383.75,C1235753114,1.9682866e+07,1.9865248e+07,C1477930338,1.7818936e+06,1.5995099e+06,0,0
554,TRANSFER,1.02508206e+06,C54370277,1.02508206e+06,0.0,C108260141,0.0,0.0,1,0
24,PAYMENT,3130.56,C781648185,52842.0,49711.44,M560040828,0.0,0.0,0,0
68,CASH_OUT,374178.28,C712970778,374178.28,0.0,C44247024,616364.56,990542.9,1,0
276,CASH_OUT,77736.94,C759591761,220662.66,142925.7,C163147199,164121.94,241858.88,0,0
134,PAYMENT,12655.13,C1146047523,0.0,0.0,M1818191426,0.0,0.0,0,0
284,TRANSFER,23613.06,C682514761,73800.83,50187.77,C99758111,200802.16,224415.22,0,0
206,CASH_OUT,223829.9,C153052137,30502.0,0.0,C1497638812,1.06666e+06,1.2904899e+06,0,0
254,CASH_IN,262119.23,C1548514861,1.5399765e+07,1.5661884e+07,C1705653983,1.8267794e+06,1.5646602e+06,0,0
393,CASH_IN,32197.77,C47100485,148546.0,180743.77,C90514964,285675.72,253477.95,0,0
307,CASH_OUT,99498.03,C115072200,30026.0,0.0,C2143742082,23623.01,123121.05,0,0
324,PAYMENT,25121.66,C1808479757,75832.0,50710.34,M1407221975,0.0,0.0,0,0
235,CASH_OUT,85066.35,C1923505168,1746.0,0.0,C341359126,0.0,85066.35,0,0
495,TRANSFER,197943.1,C1143038776,197943.1,0.0,C742185953,0.0,0.0,1,0
351,CASH_OUT,1.5526644e+06,C1791470904,1.5526644e+06,0.0,C388319905,3.804337e+06,5.357001e+06,1,0
227,PAYMENT,21380.77,C1072532009,0.0,0.0,M978645526,0.0,0.0,0,0
141,CASH_IN,251664.1,C1963393906,24401.0,276065.1,C556859100,930260.25,678596.1,0,0
133,PAYMENT,3669.78,C1181719821,1394.34,0.0,M1783785416,0.0,0.0,0,0
187,CASH_OUT,239369.0,C6817147,102407.93,0.0,C1414022717,3.009054e+06,3.248423e+06,0,0
250,CASH_OUT,81872.76,C1370946326,0.0,0.0,C1292804142,131533.28,213406.05,0,0
687,CASH_OUT,297941.53,C1957659290,0.0,0.0,C1070887158,845542.3,1.1434838e+06,0,0
599,CASH_IN,25068.45,C545207472,13768.0,38836.45,C677507347,3.5843092e+06,3.5592408e+06,0,0
255,CASH_IN,155901.69,C1647392911,2518.0,158419.69,C1084096886,0.0,0.0,0,0
396,PAYMENT,6454.36,C1629792747,506836.66,500382.28,M77645973,0.0,0.0,0,0
540,PAYMENT,19988.93,C1207804987,1365.0,0.0,M288817289,0.0,0.0,0,0
206,CASH_OUT,94913.97,C778064249,236108.0,141194.03,C628456965,2.412236e+06,2.50715e+06,0,0
298,CASH_OUT,169981.31,C703633819,85083.0,0.0,C1750920362,0.0,169981.31,0,0
205,CASH_IN,229513.1,C1171719108,797561.0,1.02707406e+06,C316803448,418581.97,189068.89,0,0
135,CASH_OUT,35541.56,C600630211,1023.0,0.0,C1859314610,0.0,35541.56,0,0
42,CASH_IN,58284.98,C883088690,6.7463275e+06,6.8046125e+06,C1241010037,994389.7,936104.7,0,0
394,PAYMENT,2000.96,C1360081359,24574.15,22573.19,M1186122406,0.0,0.0,0,0
163,PAYMENT,22039.97,C1156543210,0.0,0.0,M212831200,0.0,0.0,0,0
259,TRANSFER,439138.66,C234216950,0.0,0.0,C1181579840,1.6001891e+07,1.644103e+07,0,0
345,CASH_OUT,132973.4,C1183132774,132973.4,0.0,C1388012152,0.0,132973.4,1,0
350,PAYMENT,13085.62,C1745014552,4000.0,0.0,M250271250,0.0,0.0,0,0
686,CASH_IN,188895.9,C1236277288,70016.0,258911.9,C1368015292,0.0,0.0,0,0
330,CASH_OUT,160389.72,C548876798,318.0,0.0,C280779082,0.0,160389.72,0,0
14,PAYMENT,9721.04,C57982364,394773.78,385052.72,M1855800499,0.0,0.0,0,0
160,PAYMENT,3014.59,C1748452267,0.0,0.0,M762763183,0.0,0.0,0,0
189,PAYMENT,1076.55,C1922999469,52516.74,51440.19,M1379905194,0.0,0.0,0,0
211,CASH_IN,151105.8,C1633076571,51431.0,202536.8,C1602256924,2.4530645e+06,2.3019588e+06,0,0
437,CASH_OUT,101392.92,C662060364,101392.92,0.0,C486861418,614050.06,715443.0,1,0
61,CASH_OUT,55062.46,C983142202,55062.46,0.0,C204026282,0.0,55062.46,1,0
352,TRANSFER,126324.39,C1754881402,0.0,0.0,C2075162639,494240.38,620564.75,0,0
398,CASH_OUT,342555.28,C1551273827,219639.0,0.0,C402808113,197838.2,540393.5,0,0
206,CASH_OUT,278793.38,C772408849,11145.0,0.0,C1945886190,1.3739542e+06,1.6527476e+06,0,0
209,PAYMENT,4840.33,C1535561406,0.0,0.0,M1509022603,0.0,0.0,0,0
375,PAYMENT,26635.55,C373005707,0.0,0.0,M2058617937,0.0,0.0,0,0
43,CASH_IN,115900.69,C1358379228,12774.0,128674.69,C270414068,628490.7,512590.03,0,0
277,CASH_OUT,120186.45,C1354309852,649882.0,529695.56,C466280736,0.0,120186.45,0,0
162,CASH_IN,24540.28,C1126695560,0.0,24540.28,C1470171702,76286.49,51746.2,0,0
375,CASH_IN,213404.81,C432137699,112380.0,325784.8,C1307448388,64940.15,0.0,0,0
395,CASH_OUT,50545.67,C952006280,0.0,0.0,C1296536640,652595.5,879301.5,0,0
184,TRANSFER,2.179038e+06,C310822134,163012.05,0.0,C470760969,4.286295e+06,6.465333e+06,0,0
251,CASH_OUT,153921.88,C54311609,38.0,0.0,C2018623830,222029.95,375951.84,0,0
34,PAYMENT,13970.55,C1251687406,188475.45,174504.92,M846371764,0.0,0.0,0,0
44,TRANSFER,827521.9,C1072421580,0.0,0.0,C1571443299,1.7100692e+06,2.5375912e+06,0,0
43,CASH_IN,157440.38,C1619138977,1.69031e+06,1.8477504e+06,C2003672404,789982.3,771094.8,0,0
226,CASH_OUT,82869.09,C1143635966,82869.09,0.0,C275663782,104258.05,187127.14,1,0
204,TRANSFER,1.7932375e+06,C1124331694,112357.24,0.0,C2030560997,3.7145248e+06,5.5077625e+06,0,0
372,PAYMENT,14167.99,C623983825,0.0,0.0,M767560827,0.0,0.0,0,0
182,CASH_OUT,169606.2,C717867656,203321.0,33714.79,C1985322716,0.0,169606.2,0,0
183,PAYMENT,23607.1,C886711961,244665.2,221058.11,M568071171,0.0,0.0,0,0
208,CASH_IN,33635.56,C1613506237,1005.0,34640.56,C543543430,126970.1,93334.54,0,0
36,PAYMENT,2092.77,C813310143,1.1908996e+06,1.1888069e+06,M2121921027,0.0,0.0,0,0
202,CASH_OUT,147577.31,C1790704232,0.0,0.0,C492505962,274569.84,422147.16,0,0
359,PAYMENT,5049.13,C1536935025,11658.0,6608.87,M398543502,0.0,0.0,0,0
396,TRANSFER,1.1315558e+06,C1822631251,0.0,0.0,C1021600035,5.206937e+06,6.338493e+06,0,0
373,CASH_IN,96084.14,C556870507,20847.0,116931.14,C1719770402,0.0,0.0,0,0
525,PAYMENT,37963.78,C24958230,10616.0,0.0,M1905348996,0.0,0.0,0,0
506,TRANSFER,1e+07,C260657856,1.704172e+07,7.0417195e+06,C801890101,0.0,0.0,1,0
540,TRANSFER,342970.94,C498197079,342970.94,0.0,C1500413954,0.0,0.0,1,0
156,PAYMENT,1152.52,C1846941925,521681.2,520528.66,M628947974,0.0,0.0,0,0
159,TRANSFER,224661.55,C412407665,224661.55,0.0,C158610955,0.0,0.0,1,0
235,CASH_OUT,39688.63,C88132330,0.0,0.0,C1144056764,70653.2,110341.83,0,0
178,TRANSFER,291151.4,C1674959271,0.0,0.0,C981826467,1.1177754e+06,1.4089269e+06,0,0
352,CASH_OUT,7.454553e+06,C1952070142,7.454553e+06,0.0,C1302887939,0.0,7.454553e+06,1,0
188,CASH_OUT,116271.54,C1937981783,233.0,0.0,C725168562,36134.87,152406.42,0,0
43,CASH_OUT,175224.61,C678890695,12018.0,0.0,C779022502,511496.03,686720.6,0,0
22,CASH_IN,193470.16,C680895990,1224.0,194694.16,C489488362,2.849132e+06,2.655662e+06,0,0
17,PAYMENT,10078.66,C2001272506,0.0,0.0,M677506967,0.0,0.0,0,0
22,PAYMENT,1991.07,C1596066451,0.0,0.0,M659331871,0.0,0.0,0,0
404,CASH_IN,85816.13,C1044672621,4.250825e+06,4.336641e+06,C303332232,158104.48,72288.36,0,0
21,CASH_IN,260235.27,C771995268,7.2872505e+06,7.5474855e+06,C1546112622,2.3592082e+06,2.098973e+06,0,0
352,CASH_OUT,169162.61,C1057176206,60413.0,0.0,C860704019,80138.03,249300.62,0,0
134,CASH_OUT,157780.88,C1261917312,0.0,0.0,C538692095,272088.84,429869.72,0,0
398,CASH_OUT,225275.1,C1477491702,0.0,0.0,C2028794349,1.5526859e+06,1.777961e+06,0,0
94,TRANSFER,165514.27,C835232427,75236.0,0.0,C1898695825,0.0,165514.27,0,0
400,PAYMENT,61335.41,C1555538746,81431.0,20095.59,M948134497,0.0,0.0,0,0
514,PAYMENT,4001.61,C83587594,15176.0,11174.39,M1055260245,0.0,0.0,0,0
697,CASH_OUT,378623.9,C1316763794,378623.9,0.0,C140649109,0.0,378623.9,1,0
402,CASH_OUT,30576.25,C1347426134,0.0,0.0,C1730020049,522400.12,552976.4,0,0
210,CASH_OUT,330505.06,C1269262500,21311.0,0.0,C135994120,158135.52,488640.56,0,0
204,CASH_OUT,239987.27,C2106150015,0.0,0.0,C1439997658,306075.06,546062.3,0,0
48,CASH_OUT,391480.84,C243747971,0.0,0.0,C1441354395,499028.53,890509.4,0,0
132,CASH_OUT,70150.35,C1587472074,14727.0,0.0,C648174251,219385.3,289535.66,0,0
178,CASH_OUT,227955.75,C1887525887,0.0,0.0,C25129493,1.1884958e+06,1.4164515e+06,0,0
349,CASH_OUT,283696.28,C1241505782,387554.0,103857.72,C613846056,0.0,283696.28,0,0
275,PAYMENT,10951.92,C1467581120,0.0,0.0,M1301675720,0.0,0.0,0,0
370,CASH_OUT,84067.11,C2092932874,11596.0,0.0,C65889303,0.0,84067.11,0,0
260,PAYMENT,770.7,C508183639,680296.0,679525.3,M1862614870,0.0,0.0,0,0
395,TRANSFER,277428.6,C1994514892,19873.0,0.0,C1732142738,0.0,277428.6,0,0
646,CASH_OUT,1e+07,C51318897,1e+07,0.0,C259016801,0.0,1e+07,1,0
188,PAYMENT,10816.31,C1844342955,102915.34,92099.03,M40251147,0.0,0.0,0,0
260,PAYMENT,3211.4,C1272640451,0.0,0.0,M1288468267,0.0,0.0,0,0
354,CASH_OUT,213692.42,C1457580683,52635.0,0.0,C1192332868,65939.86,279632.28,0,0
280,CASH_OUT,348358.7,C149949276,32134.0,0.0,C346648606,0.0,348358.7,0,0
406,PAYMENT,10539.3,C906908223,10613.0,73.7,M1256856421,0.0,0.0,0,0
500,CASH_IN,319213.47,C1339339201,140074.56,459288.03,C1742697384,2.2692985e+06,1.950085e+06,0,0
358,PAYMENT,2192.22,C1453598714,36521.81,34329.59,M970047130,0.0,0.0,0,0
155,PAYMENT,2169.28,C1898084526,108303.54,106134.26,M1482154839,0.0,0.0,0,0
398,CASH_IN,12406.44,C690943036,2.9915038e+07,2.9927446e+07,C1610616508,740454.06,728047.6,0,0
610,CASH_OUT,33964.87,C2144754403,33964.87,0.0,C1140976771,0.0,33964.87,1,0
191,TRANSFER,661951.1,C967860590,0.0,0.0,C1181134324,4.464323e+06,5.126274e+06,0,0
155,CASH_OUT,163473.98,C731635733,562.0,0.0,C1584431587,103391.3,266865.28,0,0
353,TRANSFER,1.205461e+06,C438241741,0.0,0.0,C499864133,2.6405902e+06,3.8460512e+06,0,0
241,TRANSFER,989966.56,C351713185,989966.56,0.0,C775439776,0.0,0.0,1,0
308,TRANSFER,154372.94,C595774140,107173.0,0.0,C1481791350,608447.0,762819.94,0,0
234,CASH_OUT,82747.76,C1474071493,0.0,0.0,C1442915205,2.6049412e+06,2.687689e+06,0,0
236,PAYMENT,16088.09,C1217819899,180817.0,164728.9,M230708408,0.0,0.0,0,0
203,CASH_OUT,456062.12,C302159846,48511.0,0.0,C1925019354,424309.66,880371.75,0,0
11,CASH_IN,6565.29,C2147147634,2.3660318e+06,2.3725972e+06,C314019925,18862.53,12297.24,0,0
564,CASH_OUT,3.9689645e+06,C1383952651,3.9689645e+06,0.0,C1068730301,419593.78,4.388558e+06,1,0
498,TRANSFER,9.593839e+06,C1050497545,9.593839e+06,0.0,C457890781,0.0,0.0,1,0
363,CASH_OUT,56231.05,C615216082,56231.05,0.0,C513190251,0.0,56231.05,1,0
331,CASH_OUT,64694.69,C1106606281,61602.0,0.0,C3971550,1.3743294e+06,1.4390241e+06,0,0
46,CASH_IN,347804.47,C576171659,1.3215578e+07,1.3563383e+07,C894334204,399708.12,51903.67,0,0
251,TRANSFER,242059.7,C97776994,146362.0,0.0,C1154095147,0.0,242059.7,0,0
564,CASH_OUT,2.4722505e+06,C1806442473,2.4722505e+06,0.0,C576597272,4136.88,2.4763872e+06,1,0
348,CASH_OUT,291264.2,C163614138,291264.2,0.0,C350043001,439892.6,731156.75,1,0
40,CASH_OUT,168510.02,C1688086256,644.0,0.0,C198233052,64570.35,233080.38,0,0
189,TRANSFER,587481.9,C1366049072,0.0,0.0,C482641208,6.4304835e+06,7.0179655e+06,0,0
183,PAYMENT,14311.88,C556842753,0.0,0.0,M771823270,0.0,0.0,0,0
563,TRANSFER,96989.06,C1198991662,96989.06,0.0,C1959379782,0.0,0.0,1,0
136,CASH_OUT,101153.31,C677932964,30697.0,0.0,C1700207659,0.0,101153.31,0,0
205,CASH_IN,272703.62,C98153305,773639.75,1.0463433e+06,C1226031753,4.003759e+06,3.7310555e+06,0,0
14,CASH_OUT,28187.53,C102076920,31544.0,3356.47,C1739843484,3.655945e+06,3.934653e+06,0,0
597,CASH_OUT,122080.53,C829090350,565.0,0.0,C1361623432,0.0,122080.53,0,0
542,CASH_IN,433734.44,C412370247,271252.12,704986.56,C655344924,3.2082708e+07,3.1648974e+07,0,0
571,CASH_OUT,232279.22,C1595620818,345559.0,113279.78,C33964619,176388.31,408667.53,0,0
544,CASH_OUT,179997.78,C1670239272,179997.78,0.0,C1954451827,55751.58,235749.36,1,0
134,CASH_IN,184165.77,C562608631,7.856447e+06,8.0406125e+06,C1187370738,1.7487415e+06,1.5645758e+06,0,0
355,CASH_OUT,177216.73,C1470124097,0.0,0.0,C1525696737,1.03590356e+06,1.2131204e+06,0,0
235,CASH_IN,320555.0,C169624,4.4346625e+06,4.7552175e+06,C1578800354,3.7827025e+06,3.4621475e+06,0,0
306,CASH_IN,403367.72,C1433765381,1.0017512e+07,1.042088e+07,C1108093045,3.6632945e+06,3.2599268e+06,0,0
546,CASH_OUT,105097.16,C1066191297,105097.16,0.0,C1432077169,1.9653338e+06,2.0704309e+06,1,0
718,TRANSFER,1.2935955e+06,C411007033,1.2935955e+06,0.0,C1470544838,0.0,0.0,1,0
138,CASH_OUT,699.86,C525896797,0.0,0.0,C2030301435,1.0932749e+06,1.0939748e+06,0,0
